"","programFy","Floodproperties_amountpaid","InflationAdjusted_AllAmountpaid","Buyouts_propertiesamountpaid","InflationAdjusted_BUYOUTAmountpaid","insituproperties_amountpaid","InflationAdjusted_INSITUAmountpaid"
"1",1996,98200,162035.425990862,98200,162035.425990862,NA,NA
"2",1997,540576,871604.850370678,390980,630401.764780396,149596,241203.085590281
"3",1998,5669869,9002149.64922345,5647744,8967021.4018179,22125,35128.2474055519
"4",1999,910917783,1415312586.85663,907300524,1409692373.60779,4329600,6726992.80924508
"5",2000,26490628,39814578.0395625,26103326,39232475.3538927,1572993,2364158.84720383
"6",2001,490398649,716795819.725793,483053404,706059572.956766,12377494,18091681.0761465
"7",2002,57409367,82602836.6969553,56996075,82008176.0454251,1450833,2087515.11532175
"8",2003,326041050,458707485.563171,313097745,440497536.566174,16158820,22733860.3279185
"9",2004,63490878,86996284.5206265,62105099,85097466.4862199,1385779,1898818.0344066
"10",2005,159304293,211118736.554752,58704689,77798655.2535635,117186286,155301656.822669
"11",2006,79054706,101493484.471169,78657287,100983262.611574,2301855,2955210.34127155
"12",2007,55826110,69683863.4942199,52963100,66110166.5623974,4975927,6211104.76487083
"13",2008,1945447462,2338586534.42912,1942832489,2335443123.58655,820852243,986731350.875072
"14",2009,86490637,104339776.671218,81415475,98217249.5628765,5886532,7101340.16295868
"15",2010,110921688,131653507.845095,109573713,130053589.556459,2536884,3011040.34403168
"16",2011,799372778,919744677.379089,780720244,898283390.056977,30137583,34675788.7135863
"17",2012,18675372,21051928.9248909,16582495,18692720.3451347,2653656,2991350.18585495
"18",2013,261345950,290350691.446136,254563667,282815695.940625,8129078,9031260.74124955
"19",2014,153898607,168249231.145691,153413607,167719006.222306,645000,705144.485739047
"20",2015,419268544,457821088.863983,419268544,457821088.863983,NA,NA
"21",2016,11137792,12010411.9457988,9581335,10332010.181255,1556457,1678401.76454384
"22",2017,1157221583,1221860219.87803,1157221583,1221860219.87803,NA,NA
"23",2018,2589364,2668809.5615266,2589364,2668809.5615266,NA,NA
"24",2019,563197,570144.510312466,563197,570144.510312466,NA,NA
