identifier,name,title,description,distribution,webService,dataDictionary,keyword,modified,publisher,contactPoint,mbox,accessLevel,landingPage,temporal,api,version,recordCount,bureauCode,programCode,accessLevelComment,license,spatial,theme,dataQuality,accrualPeriodicity,language,primaryITInvestmentUII,references,issued,systemOfRecords,depDate,depApiMessage,depWebMessage,depNewURL,hash,lastRefresh,id
openfema-1,PublicAssistanceFundedProjectsSummaries,Public Assistance Funded Project Summaries,"FEMA provides supplemental Federal disaster grant assistance for debris removal, emergency protective measures, and the repair, replacement, or restoration of disaster-damaged, publicly owned facilities and the facilities of certain Private Non-Profit (PNP) organizations through the Public Assistance (PA) Program (CDFA Number 97.036). The PA Program also encourages protection of these damaged facilities from future events by providing assistance for hazard mitigation measures during the recovery process.

This dataset lists all public assistance recipients (sub-grantees) and a summary of the funded program support. This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems.

Due to differences in reporting periods, status of obligations, and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsSummaries,https://www.fema.gov/openfema-data-page/public-assistance-funded-projects-summaries-v1,"public, assistance, disaster, grant, funding, sub-grantees",2019-05-30T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/assistance/public,1980-02-01/,1,1,174568,024:70,024:039,,,,Public Assistance,true,R/P1D,en-US,,,2010-01-21T05:00:00.000Z,,,,,,bd507ed0181bba91866372a0a5d3c3e4,2022-04-05T16:35:32.185Z,5dd723598ca22d24d423eb6f
openfema-26,FemaWebDeclarationAreas,FEMA Web Declaration Areas,"This data set contains general information on declared disasters, including the disaster number, declaration type, state, description, incident start and end dates, and incident type.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/FemaWebDeclarationAreas,https://www.fema.gov/openfema-data-page/fema-web-declaration-areas-v1,"disaster, declaration, fema website",2019-09-26T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/disasters,1960-11-01/,1,1,440924,024:70,024:039,,,,Disaster Information,true,R/PT20M,en-US,,,,,,,,,89eaca0ba42130ddbd5477ed92fee30b,2022-04-06T00:27:11.036Z,5dd723598ca22d24d423eb73
openfema-28,HazardMitigationAssistanceMitigatedProperties,Hazard Mitigation Assistance Mitigated Properties,"This dataset contains the properties that were mitigated by projects funded under the Hazard Mitigation Assistance (HMA) grant programs. FEMA administers three programs that provide funding for eligible mitigation planning and projects to reduce disaster losses and protect life and property from future disaster damages. The three programs are the Hazard Mitigation Grant Program (HMGP), Flood Mitigation Assistance (FMA) grant program, and Pre-Disaster Mitigation (PDM) grant program. This dataset also contains data from the HMA grant programs that were eliminated by the Biggert Water Flood Insurance Reform Act of 2012 (BW-12): Repetitive Flood Claims (RFC) grant program and Severe Repetitive Loss (SRL) grant program. For more information on the Hazard Mitigation Assistance grant programs, please visit: https://www.fema.gov/grants/mitigation.

The dataset contains properties by project identifier, city, zip code, state and region and does not contain any Personally Identifiable Information (PII). The mitigated property dataset can be joined to the OpenFEMA Hazard Mitigation Assistance Funded Project dataset by the Project Identifier field. Note, not all projects in the Hazard Mitigation Assistance Funded Project dataset will have mitigated properties (e.g., Planning and Management Cost projects). In some cases data was not provided by the subgrantee (sub-recipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record.

This is raw, unedited data from FEMA's mitigation grant systems (NEMIS-MT and e-Grants) and as such is subject to a small percentage of human error. The financial information is derived from FEMA's mitigation grant systems and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as www.usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

Missing values - In some cases data was not provided by the subgrantee (subrecipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record.

A newer version of this OpenFEMA data set has been released. This older dataset version will no longer be updated and will be archived by the end of April 2020. The following page details the latest version of this data set:https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-mitigated-properties-v2. CSV and JSON Files can be downloaded from the 'Full Data' section.

To access the dataset through an API endpoint, visit the 'API Endpoint' section of the above page. Accessing data in this fashion permits data filtering, sorting, and field selection. The OpenFEMA API Documentation page provides information on API usage. 

If you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's Hazard Mitigation Assistance grant program data and Open government program, please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov and FEMA-HMAAnalytics@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/HazardMitigationAssistanceMitigatedProperties,https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-mitigated-properties-v1,"hazard, mitigation, disaster, property, project, assistance, hmgp, grant, fma, flood pdm pre-disaster",,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/grants/mitigation,1989-01-01/,1,1,65336,024:70,024:039,,,,Hazard Mitigation,true,R/P1D,en-US,,,2018-03-09T05:00:00.000Z,,2020-04-30T04:00:00.000Z,This dataset has been deprecated and will no longer be available by the date specified. It is recommended that the new endpoint be used. See the OpenFEMA documentation for additional information.,"A newer version of this OpenFEMA data set has been released. This older dataset version will no longer be updated and will be archived by the end of April 2020. The following page details the latest version of this data set: https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-mitigated-properties-v2. CSV and JSON Files can be downloaded from the 'Full Data' section.

To access the dataset through an API endpoint, visit the 'API Endpoint' section of the above page. Accessing data in this fashion permits data filtering, sorting, and field selection. The OpenFEMA API Documentation page provides information on API usage.",https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-mitigated-properties-v2,bccd9bde7f6722a223cd15150cc0f5e9,2022-04-05T16:35:56.450Z,5dd723598ca22d24d423eb77
openfema-36,FemaRegions,FEMA Regions,"Provides the list of FEMA Regions.  The dataset includes the address for each regions headquarters as well a point in GeoJSON format for the headquarter and a geometry shape for the region in GeoJSON format.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/FemaRegions,https://www.fema.gov/openfema-data-page/fema-regions-v1,regions,2020-06-12T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,,,1,1,11,024:70,024:039,,,,Miscellaneous,true,irregular,en-US,,,,,2020-09-12T04:00:00.000Z,This dataset has been deprecated and will no longer be available by the date specified. It is recommended that the new endpoint be used. See the OpenFEMA documentation for additional information.,"A newer version of this OpenFEMA data set has been released. This older dataset version will no longer be updated and will be archived by the date specified. The following page details the latest version of this data set: https://www.fema.gov/openfema-data-page/fema-regions-v2. CSV and JSON Files can be downloaded from the 'Full Data' section.

To access the dataset through an API endpoint, visit the 'API Endpoint' section of the above page. Accessing data in this fashion permits data filtering, sorting, and field selection. The OpenFEMA API Documentation page provides information on API usage.",https://www.fema.gov/openfema-data-page/fema-regions-v2,282c8b7a2bb6e7f54ab43e5b726f7511,2021-03-26T17:50:27.502Z,5dd723598ca22d24d423eb7f
openfema-22,EmergencyManagementPerformanceGrants,Emergency Management Performance Grants,"This dataset contains EMPG recipients as reported by their State and a summary of the funded program support as reported by the Recipient in the Grants Reporting Tool (GRT).

The EMPG Program provides resources to assist state, local, tribal and territorial governments in preparing for all hazards, as authorized by Section 662 of the Post Katrina Emergency Management Reform Act (6 U.S.C ' 762) and the Robert T. Stafford Disaster Relief and Emergency Assistance Act, as amended (42 U.S.C. '' 5121 et seq.). Title VI of the Stafford Act authorizes FEMA to make grants for the purpose of providing a system of emergency preparedness for the protection of life and property in the United States from hazards and to vest responsibility for emergency preparedness jointly in the federal government and the states and their political subdivisions. The FY 2016 EMPG will provide federal funds to assist state, local, tribal and territorial emergency management agencies to obtain the resources required to support the National Preparedness Goal's (NPG's) (the Goal's) associated mission areas and core capabilities. The federal government, through the EMPG Program, provides necessary direction, coordination, and guidance, and provides necessary assistance, as authorized in this title to support a comprehensive all hazards emergency preparedness system. 

The Emergency Management Performance Grant Program is to support a comprehensive, all-hazard emergency preparedness system by building and sustaining the core capabilities contained in the National Preparedness Goal. Examples include: 

- Completing the Threat and Hazard Identification and Risk Assessment (THIRA) process; 
- Strengthening a state or community's emergency management governance structures; 
- Updating and approving specific emergency plans; 
- Designing and conducting exercises that enable whole community stakeholders to examine and validate core capabilities and the plans needed to deliver them to the targets identified through the THIRA; 
- Targeting training and verifying identified capabilities; 
- Initiating or achieving a whole community approach to security and emergency management. 

This dataset was first made public on 10/31/2016 and will be updated twice a year. For additional details on the EMPG program visit: https://www.fema.gov/grants/preparedness/emergency-management-performance

This dataset is not intended to be an official federal report, and should not be considered an official federal report. 
 
Citation: The Agency's preferred citation for datasets (API usage or file downloads) can be found on the OpenFEMA Terms and Conditions page, Citing Data section: https://www.fema.gov/about/openfema/terms-conditions.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/EmergencyManagementPerformanceGrants,https://www.fema.gov/openfema-data-page/emergency-management-performance-grants-v1,"grants,emergencymanagement,empg",2019-09-26T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://beta.sam.gov/fal/cd60f4b3664041838fd94e1482b5de24/view?keywords=emergency%20management%20performance%20grants&sort=-relevance&index=&is_active=true&page=1,2010-10-01/,1,1,17889,024:70,024:039,,,,Disaster Information ,true,R/P6M,en-US,,,10/31/2016,,,,,,c70215e88c4aeaa2922798aa69e52e25f6c2ca60,2022-02-25T14:24:54.413Z,5dd723598ca22d24d423eb9f
openfema-45,HazardMitigationAssistanceProjects,Hazard Mitigation Assistance Projects,"The dataset contains funded projects (financial obligation to grantee) under the Hazard Mitigation Assistance (HMA) grant programs. FEMA administers three programs that provide funding for eligible mitigation planning and projects that reduces disaster losses and protect life and property from future disaster damages. The three programs are the Hazard Mitigation Grant Program (HMGP), Flood Mitigation Assistance (FMA) grant program, and Pre-Disaster Mitigation (PDM) grant program. This dataset also contains data from the HMA grant programs that were eliminated by the Biggert Water Flood Insurance Reform Act of 2012: Repetitive Flood Claims (RFC) grant program and Severe Repetitive Loss (SRL) grant program. For more information on the Hazard Mitigation Assistance grant programs, please visit: https://www.fema.gov/grants/mitigation.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.' For inquiries about FEMA's Hazard Mitigation Assistance grant program data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov and FEMA-HMAAnalytics@fema.dhs.gov.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v2/HazardMitigationAssistanceProjects,https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-projects-v2,"mitigation, hazard, disaster, non-disaster, grant, subapplication, project, property, assistance, HMA, HMGP, PDM, LPDM, FMA, SRL, RFC",2019-06-05T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/grants/mitigation,1989-01-01/,1,2,30644,024:70,024:039,,,,Hazard Mitigation,true,R/P1D,en-US,,,2018-03-09T05:00:00.000Z,,,,,,a5a826348b75bd85ae261602ae1d57c4,2022-04-05T16:35:57.534Z,5dd723598ca22d24d423eb83
openfema-12,HousingAssistanceOwners,Housing Assistance Program Data - Owners,"This dataset was generated by FEMA's Enterprise Coordination & Information Management (ECIM) Reporting team to share data on FEMA's Housing Assistance Program for House Owners within the state, county, zip where the registration is valid for the declarations, starting with disaster declarations number 4116.

This dataset contains aggregated, non-PII data. Additional core data elements include number of applicants, county, zip code, inspections, severity of damage, assistance provided, and owner or renter. Data is self-reported and as such is subject to human error. To learn more about disaster assistance please visit https://www.fema.gov/individual-disaster-assistance.

The financial information is derived from NEMIS and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

Citation: The Agency's preferred citation for datasets (API usage or file downloads) can be found on the OpenFEMA Terms and Conditions page, Citing Data section: https://www.fema.gov/about/openfema/terms-conditions.

If you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/HousingAssistanceOwners,https://www.fema.gov/openfema-data-page/housing-assistance-program-data-owners-v1,"housingassistance,owners,disaster",2020-06-25T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/individual-disaster-assistance ,2004-08-01/,1,1,,024:70,024:039,,,,Individual Assistance,true,R/P1W,en-US,,,6/26/2013,,9/12/2020,This dataset has been deprecated and will no longer be available by the date specified. It is recommended that the new endpoint be used. See the OpenFEMA documentation for additional information.,"A newer version of this OpenFEMA data set has been released. This older dataset version will no longer be updated and will be archived by September 12, 2020. The following page details the latest version of this data set: https://www.fema.gov/openfema-data-page/housing-assistance-program-data-owners-v2. CSV and JSON Files can be downloaded from the 'Full Data' section.

To access the dataset through an API endpoint, visit the 'API Endpoint' section of the above page. Accessing data in this fashion permits data filtering, sorting, and field selection. The OpenFEMA API Documentation page provides information on API usage. 

If you have any questions, please contact the OpenFEMA team at OpenFEMA@fema.dhs.gov.",https://www.fema.gov/openfema-data-page/housing-assistance-program-data-owners-v2,1a20fa1a1cb9c110a14143909a2f44073d71848f,2021-09-01T15:01:28.245Z,5dd723598ca22d24d423eba3
openfema-8,DataSetFields,OpenFEMA Data Set Fields,"Metadata for the OpenFEMA API data set fields. It contains descriptions, data types, and other attributes for each field.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/OpenFemaDataSetFields,https://www.fema.gov/openfema-data-page/openfema-data-set-fields-v1,"open, data, fema, datasets, metadata, api",2019-06-04T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/about/reports-and-data/openfema,,1,1,887,024:70,024:039,,,,Miscellaneous,true,irregular,en-US,,,2013-01-01T05:00:00.000Z,,,,,,7ac652dc1f60bbf4ba099d937e8be97e,2021-12-07T19:21:15.055Z,5dd723598ca22d24d423eb93
openfema-37,HazardMitigationAssistanceMitigatedProperties,Hazard Mitigation Assistance Mitigated Properties,"This dataset contains the properties that were mitigated by projects funded under the Hazard Mitigation Assistance (HMA) grant programs. FEMA administers three programs that provide funding for eligible mitigation planning and projects to reduce disaster losses and protect life and property from future disaster damages. The three programs are the Hazard Mitigation Grant Program (HMGP), Flood Mitigation Assistance (FMA) grant program, and Pre-Disaster Mitigation (PDM) grant program. This dataset also contains data from the HMA grant programs that were eliminated by the Biggert Water Flood Insurance Reform Act of 2012 (BW-12): Repetitive Flood Claims (RFC) grant program and Severe Repetitive Loss (SRL) grant program. For more information on the Hazard Mitigation Assistance grant programs, please visit: https://www.fema.gov/grants/mitigation.

The dataset contains properties by project identifier, city, zip code, state and region and does not contain any Personally Identifiable Information (PII). The mitigated property dataset can be joined to the OpenFEMA Hazard Mitigation Assistance Funded Project dataset by the Project Identifier field. Note, not all projects in the Hazard Mitigation Assistance Funded Project dataset will have mitigated properties (e.g., Planning and Management Cost projects). In some cases data was not provided by the subgrantee (sub-recipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record. 

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

Missing values - In some cases data was not provided by the subgrantee (subrecipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record.

If you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program, please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov. For inquiries about FEMA's Hazard Mitigation Assistance grant program data and Open government program, please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov and FEMA-HMAAnalytics@fema.dhs.gov.",,https://www.fema.gov/api/open/v2/HazardMitigationAssistanceMitigatedProperties,https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-mitigated-properties-v2,"mitigation, hazard, disaster, non-disaster, grant, subapplication, project, property, assistance, HMA, HMGP, PDM, LPDM, FMA, SRL, RFC",2019-06-05T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/grants/mitigation,1989-01-01/,1,2,65336,024:70,024:039,,,,Hazard Mitigation,true,R/P1D,en-US,,,2018-03-09T05:00:00.000Z,,,,,,a83fb6aa8b36cc0a78f1714d0b5f83b8,2022-04-05T16:36:20.079Z,5dd723598ca22d24d423eb87
openfema-15,NonDisasterAssistanceFirefighterGrants,Non-Disaster and Assistance to Firefighter Grants,"This data set contains information on both Non-Disaster (ND) and Assistance to Firefighter Grants (AFG) data. ND and AFG are awarded and managed differently within the Grants Program Directorate (GPD) and should be treated with discretion.

The only measure in this data set is Award Amount. It is an additive measure that can be applied across multiple dimensions to create various views of the data.

AFG awards are assigned to individual Fire Departments. ND Grants are typically assigned to state agencies; however, exceptions do exist such as Port Security Grant Program which is assigned to port areas and not States. It is important to know that when looking at Award Amount by State it does not mean the State actually received that money. In addition, some grant programs may have pass-through requirements where the recipient State is required to sub-grant a minimum amount of the award and only retain a portion of the award.

Grants guidance is described in the Funding Opportunity Announcement (FOA). Each grant program has its own grant guidance containing eligibility requirements, program objectives, and funding restrictions which are published annually. FOAs are public documents and may be found online at www.fema.gov/grants.

For more information on grants check out: http://www.fema.gov/grants, https://www.fema.gov/grants/preparedness and https://www.fema.gov/grants/preparedness/firefighters

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/NonDisasterAssistanceFirefighterGrants,https://www.fema.gov/openfema-data-page/non-disaster-assistance-firefighter-grants-v1,"non-disaster assistance, Firefighter Grants",,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/grants,2005-01-01/2012-12-31,1,1,,024:70,024:039,,,,Miscellaneous ,true,irregular,en-US,,,,,2019-01-01T05:00:00.000Z,This dataset has been deprecated and will no longer be available by the date specified.,This dataset has been deprecated and will no longer be available by the date specified.,,40dcc05de7c078e7416f53a805123f8b,2020-09-10T18:31:15.517Z,5dd723598ca22d24d423eb97
