"","STATE_NAME","Buyouts_propertiesamountpaid","Buyouts_propertiesperyear","insituproperties_amountpaid","insitupropertiesperyear","Floodpropertiesperyear","Floodproperties_amountpaid"
"1","",654010,15,100095,2,16,661510
"2","Alabama",16385779,1261,1436615,50,1311,17822394
"3","Alaska",1352736,158,6087187,75,221,7281573
"4","Arizona",1073982,189,NA,NA,189,1073982
"5","Arkansas",1211526,156,6961281,8,164,8172807
"6","California",833359,355,NA,NA,1197,833359
"7","Colorado",20619675,168,NA,NA,212,20619675
"8","Connecticut",3291019,54,1084504,140,184,3471023
"9","Delaware",927464,26,NA,NA,113,927464
"10","Florida",17261919,648,2201480,465,1113,19463399
"11","Georgia",35505115,1830,84743,97,1925,35505115
"12","Guam",975645,5,975645,6,7,975645
"13","Illinois",62052708,3485,978500,32,3504,62052708
"14","Indiana",33233258,1331,NA,NA,1340,33233258
"15","Iowa",103605602,3156,NA,NA,3172,103605602
"16","Kansas",9032575,1439,NA,NA,1439,9032575
"17","Kentucky",28078347,1302,2390226,47,1335,30468573
"18","Louisiana",44858855,1764,103509093,7245,7978,125909562
"19","Maine",1295743,173,NA,NA,173,1295743
"20","Maryland",11814724,164,4335612,96,260,16150336
"21","Massachusetts",200000,28,431014,344,369,631014
"22","Michigan",159273602,294,NA,NA,355,159273602
"23","Minnesota",224185700,1199,1665201,42,1209,224185700
"24","Mississippi",13867857,640,654036,57,691,14113893
"25","Missouri",1195890030,5455,NA,NA,5468,1195890030
"26","Montana",810254,68,127971,8,76,938225
"27","Nebraska",5763619,494,7490596,2,496,13254215
"28","New Hampshire",1018136,58,NA,NA,64,1018136
"29","New Jersey",52207274,1867,12599347,2090,3878,57313887
"30","New York",55655142,983,2852044,181,1155,57656261
"31","North Carolina",878790369,4286,12464112,965,5209,889830287
"32","North Dakota",56344015,1257,NA,NA,1267,56344015
"33","Ohio",35598231,2184,2850519,188,2260,35969128
"34","Oklahoma",429225411,574,90187,2,575,429225411
"35","Oregon",14298427,258,11046757,277,442,14821771
"36","Pennsylvania",1004604062,1774,NA,NA,1868,1004604062
"37","Puerto Rico",8777693,406,NA,NA,406,8777693
"38","Rhode Island",549073,20,775376,21,41,1324449
"39","South Carolina",7392196,210,1418828,27,237,8811024
"40","South Dakota",2145005,209,NA,NA,209,2145005
"41","Tennessee",54946367,1086,NA,NA,1120,54946367
"42","Texas",515982183,5738,2,1027,6763,515982185
"43","Utah",182000,21,NA,NA,21,182000
"44","Vermont",1312425,203,NA,NA,229,1312425
"45","Virginia",17437898,728,8988612,636,1231,23127148
"46","Washington",1663721208,759,817993756,438,1146,1670711234
"47","West Virginia",42119992,1593,589954,30,1620,42709946
"48","Wisconsin",37210351,988,546006,77,1039,37210351
"49","Wyoming",649858,19,NA,NA,19,649858
